"DOWNTIME_ID","START_TIME","END_TIME","MACHINE_NO","REASON","NOTES"
"2752","06-MAY-21 07.36.56.000000 AM UTC","06-MAY-21 07.38.21.000000 AM UTC","3","Productivity loss",""
"2753","06-MAY-21 07.38.18.000000 AM UTC","06-MAY-21 07.39.07.000000 AM UTC","6","Productivity loss",""
"2754","06-MAY-21 07.38.26.000000 AM UTC","06-MAY-21 07.39.11.000000 AM UTC","3","Productivity loss",""
"2755","06-MAY-21 07.39.07.000000 AM UTC","06-MAY-21 07.40.28.000000 AM UTC","9","Productivity loss",""
"2756","06-MAY-21 07.41.56.000000 AM UTC","06-MAY-21 07.42.46.000000 AM UTC","6","Productivity loss",""
"2757","06-MAY-21 07.41.43.000000 AM UTC","06-MAY-21 07.42.51.000000 AM UTC","3","Productivity loss",""
"2758","06-MAY-21 07.48.57.000000 AM UTC","06-MAY-21 07.56.37.000000 AM UTC","10","",""
"2775","06-MAY-21 09.03.13.000000 AM UTC","06-MAY-21 09.04.45.000000 AM UTC","3","Productivity loss",""
"2793","06-MAY-21 10.08.05.000000 AM UTC","06-MAY-21 10.08.49.000000 AM UTC","6","Productivity loss",""
"2794","06-MAY-21 10.08.53.000000 AM UTC","06-MAY-21 10.09.36.000000 AM UTC","6","Productivity loss",""
"2164","01-MAY-21 04.30.28.000000 AM UTC","01-MAY-21 11.54.25.000000 AM UTC","3","",""
"2165","01-MAY-21 04.30.28.000000 AM UTC","01-MAY-21 11.54.26.000000 AM UTC","9","",""
"2167","01-MAY-21 11.54.25.000000 AM UTC","01-MAY-21 12.15.04.000000 PM UTC","3","",""
"2168","01-MAY-21 04.30.28.000000 AM UTC","01-MAY-21 12.15.04.000000 PM UTC","2","",""
"2169","01-MAY-21 04.30.28.000000 AM UTC","01-MAY-21 12.15.04.000000 PM UTC","7","",""
"2171","01-MAY-21 11.54.26.000000 AM UTC","01-MAY-21 12.15.22.000000 PM UTC","9","",""
"2172","01-MAY-21 04.30.28.000000 AM UTC","01-MAY-21 12.15.23.000000 PM UTC","8","",""
"2173","01-MAY-21 11.54.26.000000 AM UTC","01-MAY-21 12.15.23.000000 PM UTC","10","",""
"2178","01-MAY-21 12.15.23.000000 PM UTC","01-MAY-21 12.26.30.000000 PM UTC","8","",""
"2180","01-MAY-21 12.15.23.000000 PM UTC","01-MAY-21 12.26.31.000000 PM UTC","10","",""
"2204","02-MAY-21 12.45.09.000000 AM UTC","02-MAY-21 06.40.52.000000 AM UTC","3","",""
"2205","02-MAY-21 12.45.09.000000 AM UTC","02-MAY-21 06.53.02.000000 AM UTC","4","",""
"2207","02-MAY-21 12.45.09.000000 AM UTC","02-MAY-21 06.58.38.000000 AM UTC","8","",""
"2208","02-MAY-21 12.45.09.000000 AM UTC","02-MAY-21 06.58.42.000000 AM UTC","7","",""
"2210","02-MAY-21 12.45.09.000000 AM UTC","02-MAY-21 06.58.53.000000 AM UTC","5","",""
"2211","02-MAY-21 06.53.14.000000 AM UTC","02-MAY-21 06.58.59.000000 AM UTC","4","",""
"2246","02-MAY-21 08.10.12.000000 AM UTC","02-MAY-21 08.11.09.000000 AM UTC","8","Productivity loss",""
"2323","02-MAY-21 11.27.21.000000 AM UTC","02-MAY-21 11.36.59.000000 AM UTC","7","",""
"2325","02-MAY-21 11.37.04.000000 AM UTC","02-MAY-21 11.38.25.000000 AM UTC","7","Productivity loss",""
"2326","02-MAY-21 11.39.28.000000 AM UTC","02-MAY-21 11.40.09.000000 AM UTC","7","Productivity loss",""
"2328","02-MAY-21 11.42.42.000000 AM UTC","02-MAY-21 11.43.28.000000 AM UTC","7","Productivity loss",""
"2361","02-MAY-21 02.11.00.000000 PM UTC","02-MAY-21 02.13.01.000000 PM UTC","9","Productivity loss",""
"2363","02-MAY-21 02.32.53.000000 PM UTC","02-MAY-21 02.33.44.000000 PM UTC","7","Productivity loss",""
"2382","02-MAY-21 04.31.08.000000 PM UTC","02-MAY-21 04.31.53.000000 PM UTC","7","Productivity loss",""
"2386","02-MAY-21 02.10.34.000000 PM UTC","02-MAY-21 05.11.21.000000 PM UTC","3","",""
"2393","03-MAY-21 05.24.49.000000 AM UTC","03-MAY-21 06.58.03.000000 AM UTC","7","",""
"2397","03-MAY-21 06.58.07.000000 AM UTC","03-MAY-21 07.12.29.000000 AM UTC","6","",""
"2414","03-MAY-21 08.01.29.000000 AM UTC","03-MAY-21 08.03.08.000000 AM UTC","9","Productivity loss",""
